year,age
2000,26
2000,48
2000,67
2000,39
2000,25
2000,25
2000,36
2000,44
2000,44
2000,47
2000,53
2000,52
2000,52
2000,51
2000,52
2000,40
2000,77
2000,44
2000,40
2000,45
2000,48
2000,49
2000,19
2000,54
2000,82
2000,83
2000,89+
2000,88
2000,72
2000,82
2000,56
2000,42
2000,58
2000,36
2000,44
2000,21
2000,23
2000,22
2000,30
2000,41
2000,52
2000,53
2000,52
2000,74
2000,26
2000,21
2000,30
2000,73
2000,18
2000,21
2000,54
2000,34
2000,33
2000,25
2000,30
2000,42
2000,27
2000,28
2000,37
2000,39
2000,19
2000,49
2000,47
2000,35
2000,64
2000,30
2000,63
2000,40
2000,63
2000,44
2000,78
2000,62
2000,62
2000,64
2000,37
2000,30
2000,66
2000,78
2000,63
2000,83
2000,89+
2000,63
2000,86
2000,73
2000,44
2000,86
2000,56
2000,60
2000,30
2000,71
